91.39,1.58,93.97,1,US.TX->US.NY->US.MO->US.CA->US.FL,25
91.43,2.04,94.25,2,US.TX->US.FL->US.NY->US.MO->US.CA,25
88.87,2.58,91.93,3,US.CA->US.TX->US.NY->US.MO->US.FL,25
86.22,7.66,93.85,4,US.NY->US.MO->US.CA->US.TX->US.FL,25
89.69,1.82,92.50,5,US.CA->US.FL->US.NY->US.TX->US.MO,25
