stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,91.25,91.25,90.74,0.0
1.0,0.0,83.88,83.88,82.16,0.0
1.0,1.0,95.1,95.1,94.86,0.0
2.0,0.0,89.53,89.53,88.73,0.0
2.0,1.0,87.4,87.4,86.84,0.0
2.0,2.0,93.45,93.45,93.09,0.0
3.0,0.0,90.13,90.13,89.23,0.0
3.0,1.0,86.4,86.4,85.68,0.0
3.0,2.0,91.07,91.07,90.19,0.0
3.0,3.0,93.28,93.28,92.63,0.0
4.0,0.0,85.89,85.89,84.13,0.0
4.0,1.0,84.24,84.24,83.16,0.0
4.0,2.0,81.64,81.64,78.16,0.0
4.0,3.0,84.15,84.15,81.37,0.0
4.0,4.0,93.93,93.93,93.59,0.0
