stage,task,accuracy,micro-f1,macro-f1,seed
0.0,0.0,79.58,79.58,71.09,1.0
1.0,0.0,38.93,38.93,21.25,1.0
1.0,1.0,79.85,79.85,73.15,1.0
2.0,0.0,33.31,33.31,15.5,1.0
2.0,1.0,46.19,46.19,30.23,1.0
2.0,2.0,82.05,82.05,77.32,1.0
3.0,0.0,31.34,31.34,14.25,1.0
3.0,1.0,30.08,30.08,13.06,1.0
3.0,2.0,37.43,37.43,21.07,1.0
3.0,3.0,84.99,84.99,81.03,1.0
4.0,0.0,28.93,28.93,10.32,1.0
4.0,1.0,27.09,27.09,8.97,1.0
4.0,2.0,29.97,29.97,15.43,1.0
4.0,3.0,44.22,44.22,23.85,1.0
4.0,4.0,83.14,83.14,80.44,1.0
